Context,Option_A,Option_B,Gold_Label,Phenomenon,Domain,Role_Direction
"Student to Professor: Ionel is in his professor's office, asking for help with his thesis.","Poți să-mi recomanzi niște cărți pentru capitolul 3, te rog?","Ați putea să-mi recomandați niște cărți pentru capitolul 3, vă rog?",B,Politeness,Education,Student->Professor
Professor to Student: A professor is advising a student to use more formal language in their written work.,Te rog să folosești un registru mai academic în lucrare.,Vă rog să folosiți un registru mai academic în lucrare.,A,Politeness,Education,Professor->Student
Citizen to Clerk: Maria is at the city hall and needs to get a new ID card.,Spune-mi ce documente îmi trebuie pentru buletin.,V-aș ruga să-mi spuneți ce documente îmi trebuie pentru buletin.,B,Politeness,Administration,Citizen->Clerk
Clerk to Citizen: A clerk is asking a citizen for an official document.,Trebuie să-mi arăți un act de identitate.,Ați putea să-mi arătați un act de identitate?,B,Politeness,Administration,Clerk->Citizen
Customer to Waiter: A customer is ordering at a high-end restaurant.,Vreau o porție de paste.,"Aș dori, vă rog, o porție de paste.",B,Politeness,Services,Customer->Waiter
Waiter to Customer: A waiter is checking if the customer enjoyed their meal.,Sper că ți-a plăcut mâncarea.,Sper că v-a plăcut mâncarea.,B,Politeness,Services,Waiter->Customer
Junior Employee to Manager: An employee is asking their manager for feedback on a report.,Poți să-mi dai feedback pe raportul pe care l-am trimis?,Mi-ați putea da feedback pe raportul pe care l-am trimis?,B,Politeness,Workplace,Junior->Manager
Manager to Junior Employee: A manager is asking their subordinate to complete a task.,Te rog să completezi tabelul până la sfârșitul zilei.,V-aș ruga să completați tabelul până la sfârșitul zilei.,B,Politeness,Workplace,Manager->Junior
Patient to Doctor: An elderly patient is describing their symptoms to a doctor.,De ce mă doare capul atât de tare?,"Aș dori să vă întreb, de ce mă doare capul atât de tare?",B,Politeness,Healthcare,Patient->Medic
Doctor to Patient: A doctor is explaining the treatment plan to a patient.,Vă rog să luați aceste pastile de trei ori pe zi.,Ia aceste pastile de trei ori pe zi.,A,Politeness,Healthcare,Medic->Patient
Child to Parent: A child is asking their parent for a new toy.,"Mamă, vreau o mașinuță nouă!","Mamă, aș putea să am o mașinuță nouă?",B,Politeness,Family,Child->Parent
Parent to Child: A parent is telling their child to clean their room.,"Poți să faci curat în cameră, te rog?","Puteți face curat în cameră, vă rog?",A,Politeness,Family,Parent->Child
Friend to Friend: Two friends are discussing plans for the weekend.,Ce zici să mergem la un film diseară?,Ce ziceți să mergem la un film diseară?,A,Politeness,Friends,Friend->Friend
Friend to Friend: One friend is asking another for a favor.,Ai putea să-mi împrumuți cartea aia?,Ați putea să-mi împrumutați cartea aia?,A,Politeness,Friends,Friend->Friend
Customer to Cashier: A customer is asking the cashier for a plastic bag.,"Aș dori o pungă, vă rog.",Dă-mi o pungă.,A,Politeness,Commerce,Customer->Cashier
Cashier to Customer: The cashier is asking for the customer's loyalty card.,Vă rog să-mi dați cardul de fidelitate.,Dă-mi cardul de fidelitate.,A,Politeness,Commerce,Cashier->Customer
Guest to Host at a Formal Event: A guest is asking for directions to the restroom.,Ați putea să-mi indicați unde este toaleta?,Unde-i toaleta?,A,Politeness,Formal Event,Guest->Host
Host to Guest at a Formal Event: The host is offering a guest a drink.,Vrei un pahar de șampanie?,Doriți un pahar de șampanie?,B,Politeness,Formal Event,Host->Guest
Teacher to Student: A teacher is asking a student to explain their answer.,Aș dori să-mi explici raționamentul tău.,Explica-mi raționamentul tău.,A,Politeness,Education,Teacher->Student
Student to Teacher: A student is asking if they can leave the class early.,M-aș întreba dacă aș putea pleca mai devreme.,Pot să plec mai devreme?,A,Politeness,Education,Student->Teacher
Librarian to Student: A librarian is telling a student to be quiet.,Vă rog să păstrați liniștea în bibliotecă.,Fă liniște în bibliotecă.,A,Politeness,Education,Librarian->Student
New Employee to Senior Colleague: A new employee is asking for help with a task.,Aș avea o rugăminte. M-ați putea ajuta cu asta?,"Ajută-mă, te rog, cu asta.",A,Politeness,Workplace,Junior->Senior
Manager to Team: A manager is announcing a new project.,V-aș ruga să vă familiarizați cu noul proiect.,Familiarizați-vă cu noul proiect.,A,Politeness,Workplace,Manager->Team
Senior Colleague to New Employee: A senior colleague is offering advice to a new employee.,Vă recomand să citiți manualul de proceduri.,Îți recomand să citești manualul de proceduri.,A,Politeness,Workplace,Senior->Junior
Client to Service Representative: A client is making a complaint.,Aș dori să raportez o problemă cu comanda mea.,Am o problemă cu comanda mea.,A,Politeness,Services,Client->Representative
Service Representative to Client: A representative is asking for the client's name.,Puteți să-mi spuneți numele dumneavoastră?,Spune-mi numele tău.,A,Politeness,Services,Representative->Client
Pharmacist to Patient: A pharmacist is explaining how to take the medication.,Vă rog să luați o pastilă la 8 ore.,Ia o pastilă la 8 ore.,A,Politeness,Healthcare,Pharmacist->Patient
Patient to Pharmacist: A patient is asking if the medication has side effects.,M-aș întreba dacă are medicamentul efecte adverse.,Are medicamentul efecte adverse?,A,Politeness,Healthcare,Patient->Pharmacist
Grandchild to Grandparent: A grandchild is asking for a story.,"Bunică, mi-ați putea citi o poveste?","Bunică, poți să-mi citești o poveste?",A,Politeness,Family,Grandchild->Grandparent
Parent to Parent: A parent is asking their spouse to help with a task.,Ai putea să pui tu masa diseară?,Ați putea să puneți dumneavoastră masa diseară?,A,Politeness,Family,Parent->Parent
Seller to Buyer: A street vendor is trying to sell a product.,V-ar interesa o brățară făcută manual?,Îți place o brățară făcută manual?,A,Politeness,Commerce,Seller->Buyer
Buyer to Seller: A buyer is asking for a discount.,Aș putea primi un preț mai bun?,Vreau un preț mai bun.,A,Politeness,Commerce,Buyer->Seller
Guest to Guest at a Formal Event: A guest is complimenting another on their outfit.,Îmi permiteți să vă felicit pentru ținută?,Îmi place ținuta ta.,A,Politeness,Formal Event,Guest->Guest
Master of Ceremonies to Audience: The host of an event is asking for a round of applause.,Vă rugăm să-i aplaudăm pe invitații noștri!,Aplaudați-i pe invitații noștri!,A,Politeness,Formal Event,MC->Audience
Student to Dean: A student is requesting an appointment with the dean.,"Aș dori să solicit o audiență, dacă se poate.",Vreau o audiență.,A,Politeness,Education,Student->Dean
Colleague to Colleague (Informal): Two colleagues are on good terms and one is asking for a pen.,Îmi poți da stiloul tău?,Îmi puteți da stiloul dumneavoastră?,A,Politeness,Workplace,Colleague->Colleague
